,DOGEUSDT,ONDOUSDT,Spread,ZScore
0,0.09303,0.2561,-0.0014452900000000019,
1,0.093,0.2562,-0.0015121800000000019,
2,0.09102,0.2481,-0.0005040899999999987,
3,0.09146,0.2485,-0.00021165000000000767,
4,0.09111,0.2474,-0.00015586000000000766,
5,0.09114,0.2474,-0.0001258600000000054,
6,0.09136,0.2484,-0.00027476000000001277,
7,0.09135,0.2479,-0.00010031000000000623,
8,0.09132,0.2483,-0.0002778699999999995,
9,0.09123,0.2476,-0.00010963999999999419,
10,0.09114,0.247,2.1699999999999497e-05,
11,0.09102,0.2459,0.0003074899999999936,
12,0.09127,0.2469,0.00018859000000000237,
13,0.09098,0.2468,-6.451999999999847e-05,
14,0.09066,0.2455,9.50499999999993e-05,
15,0.09044,0.2454,-8.806000000000092e-05,
16,0.09058,0.2449,0.0002363899999999891,
17,0.09066,0.2451,0.0002426100000000042,
18,0.09104,0.246,0.00029060000000000197,
19,0.09104,0.2458,0.0003643799999999975,
20,0.09086,0.2437,0.0009590699999999924,1.9280123356009478
21,0.09148,0.2445,0.001283950000000006,2.326831403980045
22,0.09131,0.245,0.0009294999999999998,1.7584601918835467
23,0.09097,0.2432,0.001253519999999994,2.125525804450589
24,0.09079,0.2424,0.0013686399999999904,2.0051040990352624
25,0.09128,0.2444,0.001120839999999998,1.3790302961946954
26,0.09136,0.2456,0.0007581599999999938,0.649016167912814
27,0.09105,0.2443,0.0009277300000000016,0.8746653962620129
28,0.09116,0.2451,0.0007426100000000047,0.462599744180781
29,0.09092,0.2444,0.0007608399999999987,0.42660864599662146
30,0.09121,0.2452,0.0007557200000000014,0.34805375698262314
31,0.09141,0.248,-7.719999999999949e-05,-1.4048624625406918
32,0.09085,0.2448,0.0005432800000000071,-0.11995426084556378
33,0.09087,0.2449,0.0005263900000000016,-0.1939350923216389
34,0.09095,0.2466,-2.07400000000052e-05,-1.396209469107808
35,0.09083,0.2456,0.00022815999999999115,-0.8787529260930468
36,0.09088,0.2476,-0.0004596399999999973,-2.1941439430635614
37,0.09158,0.2489,-0.00023921000000000359,-1.6004071830308138
38,0.09177,0.2529,-0.0015248100000000014,-2.942034028295749
39,0.09248,0.2537,-0.0011099299999999812,-1.9982107849130826
40,0.09166,0.2483,6.213000000000746e-05,-0.4591161312239419
41,0.09191,0.2486,0.0002014600000000144,-0.23583334605254538
42,0.09151,0.2477,0.00013346999999999665,-0.26226124600625944
43,0.09175,0.2491,-0.00014298999999999562,-0.5717725761629416
44,0.09305,0.2514,0.00030853999999998216,0.11006982462949727
45,0.09248,0.2492,0.0005501200000000012,0.5467545902785113
46,0.09266,0.2514,-8.146000000000542e-05,-0.3495445994020163
47,0.09402,0.2568,-0.0007135199999999814,-1.237202102274839
48,0.09409,0.2576,-0.0009386400000000045,-1.444719514422693
49,0.09353,0.2544,-0.00031816000000001177,-0.3993571035185413
50,0.09355,0.2545,-0.0003350500000000034,-0.35846536800272516
51,0.09347,0.2542,-0.000304379999999993,-0.23330458486910868
52,0.09354,0.2553,-0.0006401700000000093,-0.7858445176099097
53,0.09335,0.2543,-0.0004612700000000136,-0.39540177768367984
54,0.09277,0.2524,-0.0003403599999999979,-0.09533555290796351
55,0.09321,0.2532,-0.00019547999999999788,0.2124455241334552
56,0.09359,0.2534,0.00011073999999999806,0.8497914601393142
57,0.09438,0.2554,0.0001629400000000003,0.8795803850408347
58,0.09449,0.2565,-0.0001328500000000038,0.27749157185438156
59,0.09444,0.2558,7.537999999998601e-05,0.6526577601475393
60,0.09431,0.255,0.0002405000000000046,1.0088564253950714
61,0.09412,0.255,5.049999999999499e-05,0.49531965101824404
62,0.09706,0.2603,0.001035330000000001,2.543178298810926
63,0.09605,0.2571,0.0012058100000000016,2.375583651698523
64,0.09536,0.2539,0.0016962899999999892,2.552198923954397
65,0.0951,0.2528,0.001842079999999996,2.2815185154328916
66,0.09461,0.2535,0.0010938499999999934,1.2168637301727443
67,0.09304,0.2494,0.0010363399999999967,1.0458084139331756
68,0.09276,0.2504,0.0003874399999999889,0.17629584371306883
69,0.09259,0.2499,0.00040189000000000197,0.12014356756393232
70,0.09319,0.2507,0.0007067699999999955,0.4803585601979423
71,0.09284,0.25,0.0006150000000000044,0.2954091821192824
72,0.0929,0.2511,0.00026920999999999196,-0.2457596549652201
73,0.09324,0.2524,0.0001296400000000003,-0.5379737902018219
74,0.09341,0.2532,4.520000000007851e-06,-0.8022631816667731
75,0.09312,0.2514,0.0003785399999999828,-0.2591038298924542
76,0.09311,0.2517,0.00025787000000000726,-0.5217624934430717
77,0.09363,0.2527,0.0004089700000000085,-0.2819635470728602
78,0.09345,0.251,0.0008560999999999985,0.47001394271141733
79,0.09267,0.2497,0.0005556699999999942,-0.14369815400524907
80,0.09277,0.2492,0.0008401199999999998,0.33963860336396323
81,0.09308,0.2516,0.00026476000000000277,-0.794649769484068
82,0.09288,0.2509,0.0003229899999999952,-0.7244815886166155
83,0.0929,0.2507,0.00041676999999999687,-0.47897826582151276
84,0.09351,0.2529,0.0002151899999999901,-0.8072152081402909
85,0.09347,0.2532,6.451999999999847e-05,-1.0854110165726696
86,0.09338,0.2526,0.00019586000000000603,-0.8238446829032303
87,0.09392,0.2553,-0.000260170000000004,-2.1004504093434835
88,0.09356,0.2523,0.0004865299999999989,0.4768272055250544
89,0.09442,0.254,0.000719399999999995,1.2305209975540872
90,0.09477,0.2544,0.0009218399999999793,1.7139502670732312
91,0.09519,0.2553,0.0010098299999999893,1.825222176766662
92,0.09603,0.2581,0.000816910000000004,1.1732480586983207
93,0.09514,0.2581,-7.308999999999788e-05,-1.3627013862388202
94,0.09522,0.2581,6.9099999999988615e-06,-1.1005573169647689
95,0.09506,0.2586,-0.0003375399999999973,-1.8824214107345567
96,0.09486,0.2586,-0.000537540000000003,-2.0280148225133234
97,0.09491,0.258,-0.0002662000000000081,-1.285346298527141
98,0.09482,0.2573,-9.79699999999889e-05,-0.8450227065685667
99,0.09591,0.2592,0.0002911200000000058,0.06002339219010029
100,0.09702,0.2604,0.000958439999999991,1.454589089370614
101,0.09689,0.2616,0.0003857599999999989,0.2766986263132199
102,0.09657,0.2625,-0.00026624999999999566,-1.0900826218784152
103,0.09661,0.2638,-0.0007058199999999959,-1.7713624891457385
104,0.09646,0.2626,-0.0004131399999999924,-1.0838982456484068
105,0.09592,0.2629,-0.0010638099999999984,-1.9811463547489039
106,0.09598,0.2633,-0.0011513699999999988,-1.8423264698791355
107,0.09575,0.2614,-0.0006804600000000077,-1.0157127130449808
108,0.09635,0.2634,-0.0008182600000000012,-1.147381622765592
109,0.0967,0.2656,-0.0012798400000000043,-1.608575787782779
110,0.09577,0.2626,-0.0011031400000000025,-1.2366699766925593
111,0.09538,0.2627,-0.0015300299999999878,-1.652027386290666
112,0.09725,0.2686,-0.0018365399999999976,-1.877093400230216
113,0.09677,0.2655,-0.001172950000000006,-0.8985440474481928
114,0.09773,0.2673,-0.0008769699999999908,-0.4147169938331612
115,0.09914,0.2711,-0.0008687899999999943,-0.3474892115416541
116,0.0994,0.2728,-0.0012359199999999876,-0.8225843051909371
117,0.09848,0.2709,-0.0014550099999999927,-1.0512543994920245
118,0.09854,0.2699,-0.0010261099999999829,-0.3860447312435807
119,0.09885,0.2696,-0.0006054400000000126,0.2637366666626487
120,0.09917,0.2696,-0.0002854400000000118,0.8208557069018872
121,0.09887,0.2687,-0.00025342999999999893,1.194241505295356
122,0.09826,0.2666,-8.874000000000382e-05,1.724315185615831
123,0.09783,0.2646,0.00021905999999999315,2.1397657863685664
124,0.09768,0.2643,0.00017973000000000294,1.8066638174017073
125,0.09742,0.2643,-8.02699999999934e-05,1.2726746342403166
126,0.09672,0.2615,0.00025264999999999316,1.626585491211656
127,0.09757,0.2635,0.0003648499999999999,1.5930630506575485
128,0.09803,0.2653,0.00016083000000001457,1.17427189664457
129,0.09848,0.2667,9.43699999999964e-05,0.987759069030399
130,0.09887,0.2663,0.0006319300000000028,1.5631855960265366
131,0.09794,0.2632,0.0008455200000000024,1.634000562263208
132,0.09868,0.2662,0.0004788200000000048,1.0616985495682383
133,0.10007,0.2704,0.00031944000000001804,0.7904861822160042
134,0.10096,0.2742,-0.00019238000000000588,-0.04662535464752661
135,0.10097,0.2752,-0.0005512800000000012,-0.6542610439446812
136,0.10052,0.2741,-0.0005954900000000041,-0.7633229923816133
137,0.10192,0.2795,-0.0011875500000000094,-1.7598929622194701
138,0.101,0.2745,-0.0002630500000000008,-0.3615016654384344
139,0.10011,0.2738,-0.0008948199999999906,-1.6257321715564241
140,0.09991,0.274,-0.0011686000000000057,-1.9478286976520935
