,BIOUSDT,PIPPINUSDT,Spread,ZScore
0,0.02102,0.36092,-0.000635199999999999,
1,0.02116,0.36117,-0.0005101999999999954,
2,0.0211,0.3603,-0.0005179999999999976,
3,0.02116,0.32659,0.0015646000000000028,
4,0.02108,0.32076,0.0018344000000000034,
5,0.02102,0.32255,0.0016670000000000018,
6,0.02081,0.33349,0.0008005999999999985,
7,0.02076,0.3316,0.0008640000000000002,
8,0.02108,0.35708,-0.0003447999999999993,
9,0.02114,0.34572,0.00039679999999999924,
10,0.02093,0.35388,-0.00030279999999999543,
11,0.02102,0.35833,-0.000479799999999999,
12,0.02092,0.35936,-0.0006415999999999991,
13,0.02115,0.34915,0.0002009999999999998,
14,0.02079,0.3537,-0.0004320000000000018,
15,0.02061,0.34445,-5.6999999999998024e-05,
16,0.02043,0.34489,-0.00026339999999999697,
17,0.02071,0.34773,-0.00015379999999999908,
18,0.02048,0.34866,-0.0004395999999999983,
19,0.02068,0.34506,-2.3599999999998622e-05,
20,0.02074,0.34592,-1.5199999999996466e-05,-0.17301932141007875
21,0.02078,0.35456,-0.0004935999999999968,-0.802215357717553
22,0.02093,0.34476,0.00024440000000000225,0.10819516008955697
23,0.02074,0.34942,-0.00022519999999999832,-0.536199943531684
24,0.02089,0.3546,-0.0003860000000000009,-0.6840016171215654
25,0.021,0.36149,-0.0006893999999999963,-1.1322146938836053
26,0.02125,0.3573,-0.0001879999999999972,-0.14805872234890344
27,0.02103,0.35898,-0.0005088000000000002,-0.8574203998733395
28,0.02095,0.36052,-0.0006811999999999999,-1.3879935465875697
29,0.02114,0.3492,0.00018800000000000067,1.3356447564648222
30,0.02118,0.34852,0.00026880000000000306,1.6714256767878295
31,0.02091,0.34749,6.060000000000093e-05,0.9135924520001785
32,0.02083,0.34894,-0.00010639999999999608,0.3264396594770672
33,0.02087,0.3482,-2.2000000000001185e-05,0.5298527531263056
34,0.02069,0.35131,-0.00038859999999999936,-0.6474921959589907
35,0.0207,0.34763,-0.0001577999999999996,0.12386041208963827
36,0.02056,0.33514,0.0004515999999999999,1.9929398392294837
37,0.02029,0.34578,-0.00045680000000000026,-0.8826384615169455
38,0.02031,0.35129,-0.0007673999999999979,-1.6413283926691122
39,0.02022,0.34943,-0.0007458000000000013,-1.4644354175619425
40,0.02006,0.35808,-0.001424799999999997,-2.580010945664147
41,0.02032,0.38055,-0.002512999999999998,-3.237637935818956
42,0.0204,0.36574,-0.0015443999999999979,-1.561853356756652
43,0.02044,0.36836,-0.0016615999999999992,-1.5386123690353448
44,0.02032,0.36348,-0.0014887999999999985,-1.1778513027391235
45,0.02037,0.35854,-0.0011424000000000017,-0.6604789170037981
46,0.02033,0.353,-0.0008499999999999966,-0.26262499042190374
47,0.02122,0.3558,-0.00012799999999999964,0.6864507321163075
48,0.02071,0.34742,-0.00013520000000000199,0.6468526874102896
49,0.0205,0.34877,-0.0004261999999999981,0.25074626442053005
50,0.02063,0.3513,-0.0004480000000000005,0.2692354031670772
51,0.02099,0.36986,-0.0012015999999999971,-0.6664420980876243
52,0.02074,0.3694,-0.0014239999999999982,-0.8850175762560744
53,0.02048,0.3682,-0.0016119999999999989,-1.042120136011908
54,0.02067,0.36625,-0.0013050000000000006,-0.5468046618503014
55,0.0207,0.35904,-0.0008424000000000001,0.14735206157222633
56,0.02081,0.36035,-0.0008109999999999992,0.2461953562819534
57,0.0208,0.35527,-0.0005161999999999979,0.8526681936760167
58,0.02091,0.35532,-0.00040919999999999845,1.0254386143242098
59,0.02093,0.35823,-0.0005637999999999997,0.7417114542553511
